Objection Status,First Contact Date,Nationality,Main Contact Platform,Lead Quality,Service,Ad Source,Objection Type,Quote_English,Nationality_Category
Unsolved,2026-01-19,KHM,Telegram - DM,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Documentation,We do not have enough money yet,Khmer
Solved,2025-11-20,KHM,Telegram - DM,Converted,VISA-EU | SVS(C) | DIS-DIS-DIS | S | KHM,DM,Price,I want you to give me a discount.,Khmer
Unsolved,2025-09-04,KHM,Telegram - DM,Converted,VISA-JP | TOU | SIN-V90D-15D | E | KHM,DM,Risk / Guarantee Concerns,"If you are not sure, I dare to put it in.",Khmer
Unsolved,2025-08-02,KHM,Facebook - Explorer by SL,Lost,VISA - CA | TOU | DIS-DIS-180D | S | KHM,ad_id.120218483048450078,Risk / Guarantee Concerns,"And the price of the visa guarantee is indeed attached, right?",Khmer
Unsolved,2026-02-10,KHM,Facebook - Explorer by SL,Lost,VISA-US | TOU | DOU-V90D-DIS | S | KHM,ad_id.120218483048450078,Risk / Guarantee Concerns,Afraid to fall again,Khmer
Unsolved,2026-02-10,KHM,Facebook - Explorer by SL,Lost,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Comparison / Competitor Claim,"He said that the person who runs the document for him charges 300, and if it doesn't work, he will return it. And how about you? Is it the same?",Khmer
Unsolved,2026-02-10,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120218483048450078,Employme - Out Of Scope,"What are you doing, brother?",Khmer
Unsolved,2026-02-10,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120218483048450078,Employme - Out Of Scope,"Hello teacher, are you going to Australia for a tourism visa or to work?",Khmer
Unsolved,2026-02-09,KHM,Facebook - Explorer by SL,Lost,VISA-CN | TOU | SIN-V90D-30D | S | KHM,ad_id.120218483048450078,Processing Time,"And if done from now until the end of the month, is it still okay, brother?",Khmer
Unsolved,2026-02-09,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120218483048450078,Risk / Guarantee Concerns,"The document states that if it runs more than 100, it will only know if it is stuck or not. If not, it will take the money; if stuck, it will also take the money.",Khmer
Unsolved,2026-02-09,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,"I want to go work in Australia, right brother?",Khmer
Unsolved,2026-02-14,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTM02 | #A01-K,Employme - Out Of Scope,"I only think about work. I don't go out to play, I want to work there.",Khmer
